,original text,fwd_translated,rev_translated
0," I'm currently enjoying the album ""Listen to Eason Chan.""","Actualmente estoy disfrutando del álbum ""Escucha a Eason Chan"".","I am currently enjoying the album ""Listen to Eason Chan""."
1," Visit the blog for the best quote of the day, which is ""cake my face, BITCH"" hahaha.","Visite el blog para obtener la mejor cita del día, que es ""cariño mi cara, puta"" jajaja.","Visit the blog to get the best date of the day, which is ""baby my face, bitch"" hahaja."
2, @jackfaulkner suggested using heroin to help alleviate physical pain.,@jackfaulkner sugirió usar heroína para ayudar a aliviar el dolor físico.,@jackfaulkner suggested using heroin to help relieve physical pain.
3," @WillMyDogHateMe, your statement about the theory being powerful and causing people to feel afraid is accurate.","@WillMyDogHateMe, tu declaración sobre que la teoría es poderosa y causa que la gente sienta miedo es exacta.","@WillMyDogHateMe, your statement that theory is powerful and causes people to feel afraid is accurate."
4, @delossantoss agrees with you @raingin. How was your work? :o.,@delossantoss está de acuerdo contigo @raingin. ¿Cómo estuvo tu trabajo? :o.,@delossantoss agrees with you @raingin. How was your job? :o.
5," @MissPressa and I had the same idea. Unfortunately, she did not attend SMCSYD. I noticed her experience via Twitter.","@MissPressa y yo teníamos la misma idea. Desafortunadamente, ella no asistió a SMCSYD. Me di cuenta de su experiencia a través de Twitter.","@MissPressa and I had the same idea. Unfortunately, she did not attend SMCSYD. I noticed her experience via Twitter."
6," @MINGOENT, that's great news! My children are doing well. School is almost finished, but I'm not quite ready for it. LOL","@MINGOENT, ¡es una gran noticia! Mis hijos lo están haciendo bien. La escuela está casi terminada, pero no estoy listo para ello.","@MINGOENT, it's great news! My children are doing well. The school is almost finished, but I'm not ready for it."
7," The last Spring Awakening show in London has started recently and unfortunately, I never had the chance to attend.","El último espectáculo de Primavera de Despertar en Londres ha comenzado recientemente y desafortunadamente, nunca tuve la oportunidad de asistir.","The latest Spring Awakening show in London has recently started and unfortunately, I never had a chance to attend."
8, My heater is located underneath my table; a good thought.,Mi calentador se encuentra debajo de mi mesa; un buen pensamiento.,My heater is under my table; a good thought.
9," @Dangerous_T, you are incredibly foolish! I hope my mind was clearer at the moment.","@Dangerous_T, ¡eres increíblemente tonto! Espero que mi mente estuviera más clara en este momento.","@Dangerous_T, you're incredibly dumb! I hope my mind was clearer right now."
10, I believe I misplaced my textbook for Spanish!! :-(,Creo que he perdido mi libro de texto para español!! :-(,I think I lost my Spanish textbook!! :-(
11," The weather is pleasant, but I still have to go to work.","El tiempo es agradable, pero todavía tengo que ir a trabajar.","The weather is nice, but I still have to go to work."
12," @NileyLover09 Sister, I'm going to log out from twitter at the moment... However, I will still be available on YouTube... Farewell!","@NileyLover09 Hermana, voy a cerrar sesión desde twitter en este momento... Sin embargo, todavía estaré disponible en YouTube... ¡Adiós!","@NileyLover09 Sister, I am going to close session from twitter right now... However, I will still be available on YouTube... Bye!"
13," Hey @dumbbadoor, I miss you. Will I see you on Thursday? Also, yay for Pirates of the Caribbean!","Hey @dumbbadoor, te echo de menos. ¿Te veré el jueves? También, ¡yay para los Piratas del Caribe!","Hey @dumbbadoor, I miss you. I'll see you Thursday? Also, for the Pirates of the Caribbean!"
